,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,count_c2d,count_SCUBA2,Tkin,Tdust
58,58,246.763418711,-24.4901805688,185934.972046,0.197434759995,0.11428546152,0.150212924431,120.688644305,0.167806054406,3.62089606929,0.371477535275,0.369341362061,0.419438738293,0.363295212971,0.373265764933,144.080986381,0.00336893594153,24.5709815883,0.000132148252252,399926.095077,81.787175376,0.000204505723389,False,False,True,58,7.83299857565e-12,11,42,12.3150338961,20.3261526799
59,59,246.769428316,-24.4927675643,92029.8366477,0.171716406551,0.113283547053,0.139472734329,117.874750901,0.108534076744,3.67252384757,0.336760598346,0.332647562721,0.388067055585,0.327892700938,0.417155717535,47.3630741508,0.00324591260311,19.5290444877,0.000212203402712,227593.123196,70.0102589285,0.000307611486434,False,False,True,59,1.25703384468e-11,10,32,12.0731838362,19.745263533
60,60,246.887321897,-24.4503451903,3.86989235487,0.0056596531048,0.00499831604341,0.00531871553233,29.2209172869,0.000487372365344,4.36999545654,0.193942812423,0.0813953574427,0.275288526039,0.177663045811,3.00099468347,12.5642851338,3.39577372315e-05,0.374766801804,0.0968416605522,290.369734761,35.2309499846,0.121331343343,False,True,False,54,2.63557460579e-09,0,1,12.3918661841,15.5668492402
61,61,246.760801878,-24.6048396023,0.0829308409363,0.00353079035378,0.00202692909124,0.00267519376553,48.6011970753,0.000112470545849,4.13405173035,0.87832871793,0.18847601077,0.890556572195,0.876375030132,12.927480804,154.615552211,3.70070426118e-05,1.97267889523,23.7870359562,9.97439157609,368.69832022,36.9644922608,True,False,False,61,1.76253149004e-08,0,0,7.02206679847,20.8245744019
62,62,246.79805146,-24.5839817281,1.05364363538,0.0134057658258,0.00432364892459,0.00761326638152,101.100610027,0.000562352729243,3.44438940005,0.454559649557,0.365870043073,0.47976080611,0.450436027364,7.30987546203,202.339554973,0.000169477488909,1.62929110047,1.54633981145,33.3767768621,107.003421319,3.20592433958,False,False,True,62,1.26599749295e-09,0,0,7.64418803528,21.3779912976
63,63,246.880719096,-24.4505219648,15.374734317,0.0144249898911,0.00531636243963,0.00875719558129,87.8998801258,0.000937254548739,4.26121595773,0.242580513722,0.149074582667,0.314043126769,0.229217846408,7.96534443767,96.7438423222,0.000244340045355,0.803011497145,0.0522292925907,452.620664819,45.8486675152,0.101296010277,False,False,True,54,1.28467265243e-09,0,3,12.913845066,16.2191399229
64,64,247.0351841,-24.6757688193,5.39112633083,0.01311529795,0.00971092048902,0.011285460362,93.807303721,0.00157458764188,3.45369277753,0.286686355333,0.27471758009,0.337406547318,0.277798709913,5.66544194947,7.98194575836,0.000288623935868,1.19455023976,0.221577118853,174.559553978,52.9243026622,0.303187659776,False,True,False,64,1.95452034398e-09,0,0,10.2764985302,18.9500350449
65,65,247.099297338,-24.6270697787,0.325711916742,0.00686019550513,0.0051784362293,0.00596029235389,89.1361789179,0.000412392001445,3.74277569656,0.363113100989,0.300826187156,0.377023141987,0.360859239878,13.2400038873,350.055106848,0.000188140905102,0.787737839957,2.41851095851,20.1622702513,66.0821477526,3.27751522665,False,True,False,65,1.19001233751e-09,0,0,3.34237453059,18.9702923509
66,66,247.08315719,-24.6075632944,338.979478058,0.0443817042845,0.0129321035661,0.0239572284759,81.3615479376,0.0101973294903,3.96468790673,0.213157421824,0.202181488446,0.259350576437,0.204882224506,4.39448800476,39.9707355167,0.00100888444018,1.49826673908,0.00441993346518,3243.48360666,31.2696174474,0.00964075088376,False,False,True,38,1.43865860207e-10,0,2,7.0860109372,17.5732978749
67,67,246.771334798,-24.6199019937,8.81499101109,0.014598094313,0.00998574671082,0.0120736437031,116.34071905,0.00127466618628,3.56922073523,0.704165948372,0.289464946721,0.716289632081,0.702225218152,10.705254137,291.724026898,0.000624214257572,5.75961977522,0.653389183038,256.429499446,238.52036373,0.930159612078,False,False,True,67,2.87715243409e-10,0,0,5.59084287455,22.091308069
